CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,ProductCategory,DiscountApplied(%),TotalAmount,Competitor Price,Seasonal Factor,Segment,Elasticity,Treatment,Avg_Uplift_Score
589267,B,9,39.43546965,2023-12-25 08:52:00,Credit Card,Clothing,4.133846107,340.2474122,42.73,High,2,-0.33142107161428974,1,-13.648232064169923
984728,B,5,30.7250779,2024-04-04 19:47:00,PayPal,Clothing,10.1913593,137.9688741,31.19,High,2,-0.33142107161428974,1,-13.648232064169923
843790,C,3,52.49121716,2024-03-07 16:39:00,Credit Card,Books,11.40155684,139.5192036,50.55,Medium,4,-0.21978374554845242,1,-15.859701383760692
9344,D,6,79.39587635,2024-04-16 15:38:00,Debit Card,Electronics,10.30831732,427.2689849,82.58,High,5,-0.728344149580409,1,-22.583071910753628
92751,D,7,95.56157972,2024-03-18 04:21:00,PayPal,Clothing,7.499713125,618.7631477,107.07,Medium,3,-0.20783185574238006,1,-25.0028469359639
716530,C,8,49.61485023,2024-02-14 02:31:00,Debit Card,Home Decor,5.858879512,373.6638075,46.75,Medium,1,-0.1958735173610127,1,-14.246726186420569
800460,C,2,48.48404057,2023-06-25 18:33:00,Cash,Books,9.604021418,87.65524587,52.81,Medium,4,-0.21978374554845242,1,-15.859701383760692
18355,A,4,11.25397669,2023-04-30 23:05:00,PayPal,Clothing,15.02186258,38.25367911,12.12,High,2,-0.33142107161428974,1,-13.648232064169923
895634,A,9,47.41986844,2024-04-10 14:34:00,PayPal,Home Decor,19.63085053,342.9985045,46.74,High,5,-0.47414632202423357,1,-53.262669231976474
281132,C,3,45.00692284,2023-12-21 07:20:00,Cash,Home Decor,1.656791461,132.783756,39.52,High,2,-0.2629230610634127,1,-12.400453703881936
11986,B,3,44.51828348,2024-04-05 15:08:00,Cash,Books,13.18145947,115.950372,40.98,High,2,-0.35694265080674487,1,-16.208538627422996
640041,A,7,83.36529992,2023-09-04 13:13:00,Credit Card,Electronics,9.420182606,528.584955,97.1,Medium,3,-0.036446365657906356,1,-13.837756007662435
117800,C,3,30.00509478,2023-07-17 00:14:00,Debit Card,Books,19.63721503,72.3387894,34.61,Medium,4,-0.21978374554845242,1,-15.859701383760692
49647,B,5,46.93091734,2023-10-31 22:29:00,Debit Card,Books,14.29287558,201.1156986,48.72,Medium,4,-0.21978374554845242,1,-15.859701383760692
